model_name,split,calibration_mode,label,bin,bin_left,bin_right,confidence,accuracy,count
signal_embedding_mlp,val,raw,STTC,2,0.2,0.30000000000000004,0.24873073115235284,0.2571428571428571,105
signal_embedding_mlp,val,raw,STTC,3,0.30000000000000004,0.4,0.35260224951210845,0.3548387096774194,93
signal_embedding_mlp,val,raw,STTC,4,0.4,0.5,0.44976981134896865,0.48314606741573035,89
signal_embedding_mlp,val,raw,STTC,5,0.5,0.6000000000000001,0.5578053098329356,0.6056338028169014,71
signal_embedding_mlp,val,raw,STTC,6,0.6000000000000001,0.7000000000000001,0.6520288056797452,0.5833333333333334,72
signal_embedding_mlp,val,raw,STTC,7,0.7000000000000001,0.8,0.7428610575371895,0.7101449275362319,69
signal_embedding_mlp,val,raw,STTC,8,0.8,0.9,0.8565719818527048,0.7348484848484849,132
signal_embedding_mlp,val,raw,STTC,9,0.9,1.0,0.9448943169493424,0.8713450292397661,171
signal_embedding_mlp,val,raw,CD,0,0.0,0.1,0.022993939872478532,0.031136857349746562,1381
signal_embedding_mlp,val,raw,CD,1,0.1,0.2,0.14664489264363673,0.15671641791044777,134
signal_embedding_mlp,val,raw,CD,2,0.2,0.30000000000000004,0.24711305326149788,0.18518518518518517,81
signal_embedding_mlp,val,raw,CD,3,0.30000000000000004,0.4,0.34960973818423385,0.288135593220339,59
signal_embedding_mlp,val,raw,CD,4,0.4,0.5,0.4577075332403183,0.4,40
signal_embedding_mlp,val,raw,CD,5,0.5,0.6000000000000001,0.5569296207116998,0.3695652173913043,46
signal_embedding_mlp,val,raw,CD,6,0.6000000000000001,0.7000000000000001,0.6522799223661423,0.5,40
signal_embedding_mlp,val,raw,CD,7,0.7000000000000001,0.8,0.7543692377706369,0.7291666666666666,48
signal_embedding_mlp,val,raw,CD,8,0.8,0.9,0.8581417482346296,0.75,64
signal_embedding_mlp,val,raw,CD,9,0.9,1.0,0.9650768814415768,0.906896551724138,290
signal_embedding_mlp,val,raw,HYP,0,0.0,0.1,0.023389949599023782,0.048672566371681415,1582
signal_embedding_mlp,val,raw,HYP,1,0.1,0.2,0.13959220988882912,0.1688888888888889,225
signal_embedding_mlp,val,raw,HYP,2,0.2,0.30000000000000004,0.24376945717072268,0.29357798165137616,109
signal_embedding_mlp,val,raw,HYP,3,0.30000000000000004,0.4,0.33865225662787757,0.21666666666666667,60
signal_embedding_mlp,val,raw,HYP,4,0.4,0.5,0.4485626473741711,0.3584905660377358,53
signal_embedding_mlp,val,raw,HYP,5,0.5,0.6000000000000001,0.5494788083163175,0.45454545454545453,55
signal_embedding_mlp,val,raw,HYP,6,0.6000000000000001,0.7000000000000001,0.6508350449223672,0.45161290322580644,31
signal_embedding_mlp,val,raw,HYP,7,0.7000000000000001,0.8,0.7540239581355342,0.5925925925925926,27
signal_embedding_mlp,val,raw,HYP,8,0.8,0.9,0.8452873095389335,0.8387096774193549,31
signal_embedding_mlp,val,raw,HYP,9,0.9,1.0,0.915744936466217,0.8,10
signal_embedding_mlp,val,temperature_scaled,NORM,0,0.0,0.1,0.022908245064350123,0.01951219512195122,820
signal_embedding_mlp,val,temperature_scaled,NORM,1,0.1,0.2,0.14779351480926076,0.16666666666666666,96
signal_embedding_mlp,val,temperature_scaled,NORM,2,0.2,0.30000000000000004,0.2440089204526962,0.19148936170212766,94
signal_embedding_mlp,val,temperature_scaled,NORM,3,0.30000000000000004,0.4,0.35151274578693587,0.358974358974359,78
signal_embedding_mlp,val,temperature_scaled,NORM,4,0.4,0.5,0.45379661321640014,0.4266666666666667,75
signal_embedding_mlp,val,temperature_scaled,NORM,5,0.5,0.6000000000000001,0.5571457015143501,0.5252525252525253,99
signal_embedding_mlp,val,temperature_scaled,NORM,6,0.6000000000000001,0.7000000000000001,0.6532450598406504,0.6024096385542169,83
signal_embedding_mlp,val,temperature_scaled,NORM,7,0.7000000000000001,0.8,0.7501685624321301,0.7833333333333333,120
signal_embedding_mlp,val,temperature_scaled,NORM,8,0.8,0.9,0.8563309445420736,0.8257261410788381,241
signal_embedding_mlp,val,temperature_scaled,NORM,9,0.9,1.0,0.9522367560888486,0.9433962264150944,477
signal_embedding_mlp,val,temperature_scaled,MI,0,0.0,0.1,0.029337040246973874,0.030936454849498328,1196
signal_embedding_mlp,val,temperature_scaled,MI,1,0.1,0.2,0.1449641935272604,0.16666666666666666,234
signal_embedding_mlp,val,temperature_scaled,MI,2,0.2,0.30000000000000004,0.24423040790578066,0.22033898305084745,118
signal_embedding_mlp,val,temperature_scaled,MI,3,0.30000000000000004,0.4,0.3462036051248249,0.3473684210526316,95
signal_embedding_mlp,val,temperature_scaled,MI,4,0.4,0.5,0.44833238795399666,0.5277777777777778,72
