model_name,probability_mode,split,threshold,macro_net_benefit,macro_treat_all_net_benefit,macro_treat_none_net_benefit,macro_net_benefit_vs_treat_all,macro_net_benefit_vs_treat_none,analysis_subset
gated_fusion_mlp,temperature_scaled,test,0.35,0.1734074690249989,-0.1650978503568145,0.0,0.3385053193818134,0.1734074690249989,retained_80_coverage
gated_fusion_mlp,temperature_scaled,test,0.36,0.17205463858850314,-0.18330250426863973,0.0,0.3553571428571428,0.17205463858850314,retained_80_coverage
gated_fusion_mlp,temperature_scaled,test,0.37,0.17009332285370987,-0.2020850837014753,0.0,0.37217840655518514,0.17009332285370987,retained_80_coverage
gated_fusion_mlp,temperature_scaled,test,0.38,0.16860117135146052,-0.22147355279343456,0.0,0.3900747241448951,0.16860117135146052,retained_80_coverage
gated_fusion_mlp,temperature_scaled,test,0.39,0.16697798968062177,-0.24149770939660567,0.0,0.40847569907722747,0.16697798968062177,retained_80_coverage
gated_fusion_mlp,temperature_scaled,test,0.4,0.16623031682792638,-0.2621893378865491,0.0,0.4284196547144755,0.16623031682792638,retained_80_coverage
gated_fusion_mlp,temperature_scaled,test,0.41,0.16528365955065935,-0.28358237751174464,0.0,0.4488660370624039,0.16528365955065935,retained_80_coverage
gated_fusion_mlp,temperature_scaled,test,0.42,0.16367632916609426,-0.30571310815849895,0.0,0.4693894373245932,0.16367632916609426,retained_80_coverage
gated_fusion_mlp,temperature_scaled,test,0.43,0.1627375210935706,-0.32862035567005154,0.0,0.49135787676362214,0.1627375210935706,retained_80_coverage
gated_fusion_mlp,temperature_scaled,test,0.44,0.16139523538499065,-0.3523457191641597,0.0,0.5137409545491504,0.16139523538499065,retained_80_coverage
gated_fusion_mlp,temperature_scaled,test,0.45,0.1597350856315,-0.3769338231489625,0.0,0.5366689087804625,0.1597350856315,retained_80_coverage
gated_fusion_mlp,temperature_scaled,test,0.46,0.15774784460043426,-0.4024325976517211,0.0,0.5601804422521555,0.15774784460043426,retained_80_coverage
gated_fusion_mlp,temperature_scaled,test,0.47,0.15703869159480677,-0.4288935900602441,0.0,0.5859322816550508,0.15703869159480677,retained_80_coverage
gated_fusion_mlp,temperature_scaled,test,0.48,0.1555185850006567,-0.4563723129460181,0.0,0.6118908979466748,0.1555185850006567,retained_80_coverage
gated_fusion_mlp,temperature_scaled,test,0.49,0.15407055252379837,-0.48492863280770476,0.0,0.638999185331503,0.15407055252379837,retained_80_coverage
gated_fusion_mlp,temperature_scaled,test,0.5,0.15344336937962436,-0.5146272054638589,0.0,0.6680705748434832,0.15344336937962436,retained_80_coverage
strong_signal_only,temperature_scaled,test,0.01,0.23994385771151147,0.2388578265571432,0.0,0.001086031154368286,0.23994385771151147,retained_80_coverage
strong_signal_only,temperature_scaled,test,0.02,0.23418716005764492,0.23109106968527732,0.0,0.0030960903723676186,0.23418716005764492,retained_80_coverage
strong_signal_only,temperature_scaled,test,0.03,0.23023272197825423,0.2231641734964657,0.0,0.0070685484817885145,0.23023272197825423,retained_80_coverage
strong_signal_only,temperature_scaled,test,0.04,0.22658978739559604,0.21507213363705388,0.0,0.011517653758542138,0.22658978739559604,retained_80_coverage
strong_signal_only,temperature_scaled,test,0.05,0.2234084642129241,0.20680973504375974,0.0,0.016598729169164377,0.2234084642129241,retained_80_coverage
strong_signal_only,temperature_scaled,test,0.06,0.2205762613289391,0.19837154073571464,0.0,0.022204720593224436,0.2205762613289391,retained_80_coverage
strong_signal_only,temperature_scaled,test,0.07,0.21819384231023586,0.18975187988341047,0.0,0.028441962426825396,0.21819384231023586,retained_80_coverage
strong_signal_only,temperature_scaled,test,0.08,0.21557888481727244,0.18094483509953452,0.0,0.03463404971773794,0.21557888481727244,retained_80_coverage
strong_signal_only,temperature_scaled,test,0.09,0.21255976369871585,0.17194422889183708,0.0,0.040615534806878774,0.21255976369871585,retained_80_coverage
strong_signal_only,temperature_scaled,test,0.1,0.210389774740572,0.1627436092128575,0.0,0.04764616552771451,0.210389774740572,retained_80_coverage
strong_signal_only,temperature_scaled,test,0.11,0.20830667246807094,0.15333623403547386,0.0,0.05497043843259708,0.20830667246807094,retained_80_coverage
strong_signal_only,temperature_scaled,test,0.12,0.20652826672188856,0.1437150548767861,0.0,0.06281321184510251,0.20652826672188856,retained_80_coverage
strong_signal_only,temperature_scaled,test,0.13,0.2047875265100935,0.13387269918571465,0.0,0.07091482732437884,0.2047875265100935,retained_80_coverage
strong_signal_only,temperature_scaled,test,0.14,0.20263548233299783,0.1238014515018276,0.0,0.07883403083117022,0.20263548233299783,retained_80_coverage
strong_signal_only,temperature_scaled,test,0.15,0.2013131448479164,0.11349323328420205,0.0,0.08781991156371435,0.2013131448479164,retained_80_coverage
strong_signal_only,temperature_scaled,test,0.16,0.19979932747586507,0.10293958129949017,0.0,0.0968597461763749,0.19979932747586507,retained_80_coverage
strong_signal_only,temperature_scaled,test,0.17,0.1982215879463183,0.0921316244476768,0.0,0.1060899634986415,0.1982215879463183,retained_80_coverage
strong_signal_only,temperature_scaled,test,0.18,0.19657480971165064,0.0810600588921607,0.0,0.11551475081948995,0.19657480971165064,retained_80_coverage
strong_signal_only,temperature_scaled,test,0.19,0.19480300345903992,0.06971512134761945,0.0,0.12508788211142047,0.19480300345903992,retained_80_coverage
strong_signal_only,temperature_scaled,test,0.2,0.19245444191343963,0.058086560364464676,0.0,0.13436788154897497,0.19245444191343963,retained_80_coverage
strong_signal_only,temperature_scaled,test,0.21,0.19095325970992763,0.04616360543236932,0.0,0.14478965427755833,0.19095325970992763,retained_80_coverage
strong_signal_only,temperature_scaled,test,0.22,0.19043572221248758,0.03393493370714327,0.0,0.15650078850534432,0.19043572221248758,retained_80_coverage
strong_signal_only,temperature_scaled,test,0.23,0.1885853326627814,0.02138863414489837,0.0,0.16719669851788305,0.1885853326627814,retained_80_coverage
strong_signal_only,temperature_scaled,test,0.24,0.18643448027814413,0.008512168804699672,0.0,0.17792231147344445,0.18643448027814413,retained_80_coverage
strong_signal_only,temperature_scaled,test,0.25,0.18488990129081245,-0.004707668944570998,0.0,0.18959757023538346,0.18488990129081245,retained_80_coverage
strong_signal_only,temperature_scaled,test,0.26,0.18362371483100412,-0.01828479960598415,0.0,0.20190851443698826,0.18362371483100412,retained_80_coverage
strong_signal_only,temperature_scaled,test,0.27,0.18229631478765562,-0.03223390644990174,0.0,0.21453022123755736,0.18229631478765562,retained_80_coverage
strong_signal_only,temperature_scaled,test,0.28,0.18118830675778283,-0.04657048848392818,0.0,0.227758795241711,0.18118830675778283,retained_80_coverage
