model_name,probability_mode,split,threshold,macro_net_benefit,macro_treat_all_net_benefit,macro_treat_none_net_benefit,macro_net_benefit_vs_treat_all,macro_net_benefit_vs_treat_none
strong_signal_only,temperature_scaled,test,0.12,0.20770121598147076,0.15232856315658863,0.0,0.055372652824882115,0.20770121598147076
strong_signal_only,temperature_scaled,test,0.13,0.2050840366895715,0.14258521330781376,0.0,0.06249882338175773,0.2050840366895715
strong_signal_only,temperature_scaled,test,0.14,0.20213936559663118,0.13261527392767208,0.0,0.06952409166895909,0.20213936559663118
strong_signal_only,temperature_scaled,test,0.15,0.2000214098378205,0.12241074773858587,0.0,0.0776106620992346,0.2000214098378205
strong_signal_only,temperature_scaled,test,0.16,0.19744789635599463,0.11196325664023568,0.0,0.08548463971575894,0.19744789635599463
strong_signal_only,temperature_scaled,test,0.17,0.19521690035848582,0.1012640187684313,0.0,0.09395288159005452,0.19521690035848582
strong_signal_only,temperature_scaled,test,0.18,0.1932133425064915,0.09030382387536343,0.0,0.10290951863112807,0.1932133425064915
strong_signal_only,temperature_scaled,test,0.19,0.19060537638032332,0.07907300688617037,0.0,0.11153236949415293,0.19060537638032332
strong_signal_only,temperature_scaled,test,0.2,0.18771610555050044,0.06756141947224749,0.0,0.12015468607825297,0.18771610555050044
strong_signal_only,temperature_scaled,test,0.21,0.18548738208497945,0.05575839946556711,0.0,0.12972898261941232,0.18548738208497945
strong_signal_only,temperature_scaled,test,0.22,0.18470637642612164,0.04365273792025384,0.0,0.1410536385058678,0.18470637642612164
strong_signal_only,temperature_scaled,test,0.23,0.18212306346974225,0.031232643607529875,0.0,0.15089041986221238,0.18212306346974225
strong_signal_only,temperature_scaled,test,0.24,0.17968009194961929,0.018485704707628947,0.0,0.16119438724199034,0.17968009194961929
strong_signal_only,temperature_scaled,test,0.25,0.1775856839551107,0.005398847437063986,0.0,0.17218683651804673,0.1775856839551107
strong_signal_only,temperature_scaled,test,0.26,0.17582077072522934,-0.008041708678651383,0.0,0.1838624794038807,0.17582077072522934
strong_signal_only,temperature_scaled,test,0.27,0.17378438680244807,-0.02185049920849593,0.0,0.19563488601094398,0.17378438680244807
strong_signal_only,temperature_scaled,test,0.28,0.17176220806794054,-0.0360428672530584,0.0,0.20780507532099893,0.17176220806794054
strong_signal_only,temperature_scaled,test,0.29,0.16906919222340414,-0.05063502031296059,0.0,0.2197042125363647,0.16906919222340414
strong_signal_only,temperature_scaled,test,0.3,0.16730794228519433,-0.06564409203171717,0.0,0.2329520343169115,0.16730794228519433
strong_signal_only,temperature_scaled,test,0.31,0.16543102425129563,-0.08108820930753917,0.0,0.24651923355883482,0.16543102425129563
strong_signal_only,temperature_scaled,test,0.32,0.16323930846223839,-0.09698656532676768,0.0,0.2602258737890061,0.16323930846223839
strong_signal_only,temperature_scaled,test,0.33,0.1612048945445656,-0.113359499137615,0.0,0.2745643936821806,0.1612048945445656
strong_signal_only,temperature_scaled,test,0.34,0.1590012959439711,-0.1302285824578819,0.0,0.28922987840185305,0.1590012959439711
strong_signal_only,temperature_scaled,test,0.35,0.15616994470497655,-0.1476167144956954,0.0,0.30378665920067194,0.15616994470497655
strong_signal_only,temperature_scaled,test,0.36,0.15410031847133757,-0.16554822565969063,0.0,0.3196485441310282,0.15410031847133757
strong_signal_only,temperature_scaled,test,0.37,0.15204442711267097,-0.18404899114635243,0.0,0.3360934182590234,0.15204442711267097
strong_signal_only,temperature_scaled,test,0.38,0.15051806627726086,-0.20314655551968067,0.0,0.3536646217969415,0.15051806627726086
strong_signal_only,temperature_scaled,test,0.39,0.14903712764211877,-0.2228702695445935,0.0,0.3719073971867123,0.14903712764211877
strong_signal_only,temperature_scaled,test,0.4,0.14771003942978464,-0.2432514407036701,0.0,0.3909614801334548,0.14771003942978464
strong_signal_only,temperature_scaled,test,0.41,0.1452445212134298,-0.2643234990206812,0.0,0.4095680202341111,0.1452445212134298
strong_signal_only,temperature_scaled,test,0.42,0.14279752753286687,-0.2861221800382793,0.0,0.42891970757114617,0.14279752753286687
strong_signal_only,temperature_scaled,test,0.43,0.1406685503567837,-0.30868572705649466,0.0,0.44935427741327844,0.1406685503567837
strong_signal_only,temperature_scaled,test,0.44,0.13881450669439752,-0.3320551150396464,0.0,0.47086962173404395,0.13881450669439752
strong_signal_only,temperature_scaled,test,0.45,0.13653734800231615,-0.35627429894945817,0.0,0.4928116469517743,0.13653734800231615
strong_signal_only,temperature_scaled,test,0.46,0.13508913827385166,-0.3813904896707445,0.0,0.5164796279445961,0.13508913827385166
strong_signal_only,temperature_scaled,test,0.47,0.1333888440606383,-0.407454461173966,0.0,0.5408433052346043,0.1333888440606383
strong_signal_only,temperature_scaled,test,0.48,0.1319521243088122,-0.4345208931196193,0.0,0.5664730174284315,0.1319521243088122
strong_signal_only,temperature_scaled,test,0.49,0.1300487073810416,-0.46264875376902354,0.0,0.5926974611500652,0.1300487073810416
strong_signal_only,temperature_scaled,test,0.5,0.1278434940855323,-0.49190172884440403,0.0,0.6197452229299364,0.1278434940855323
structured_mlp,temperature_scaled,test,0.01,0.24727162434168806,0.24651427836141213,0.0,0.0007573459802759197,0.24727162434168806
structured_mlp,temperature_scaled,test,0.02,0.24203635958478023,0.23882564854877347,0.0,0.00321071103600675,0.24203635958478023
